state,year,law,definition,status,link
Alabama,1991,alcoholism,Firearm purchase/possession is prohibited for some people with alcoholism,Current,
Alabama,1991,dealerh,State dealer license required for handgun sales,Current,
Alabama,1991,recordsallh,Record keeping and retention required for all sellers and all dealers for handgun sales,Repealed,
Alabama,1991,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Repealed,
Alabama,1991,reportallh,Reporting of sales records to the state required for all sellers and all dealers for handgun sales,Repealed,
Alabama,1991,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Repealed,
Alabama,1991,purge,State is not required to purge sales records for at least 60 days after purchase,Repealed,
Alabama,1991,security,At least one store security precaution required,Repealed,
Alabama,1991,waitingh,Waiting period is required on all handgun purchases from dealers,Repealed,
Alabama,1991,permitconcealed,Permit required to carry concealed weapons,Current,
Alabama,1991,mayissue,"""May issue"" state",Repealed,
Alabama,1991,showing,Applicants are required to make a heightened showing to obtain a concealed carry permit,Repealed,
Alabama,1991,nosyg,No stand your ground law,Repealed,
Alabama,1991,immunity,No law provides blanket immunity to gun manufacturers or prohibits state or local lawsuits against gun manufacturers,Repealed,
Alabama,1992,alcoholism,Firearm purchase/possession is prohibited for some people with alcoholism,Current,
Alabama,1992,dealerh,State dealer license required for handgun sales,Current,
Alabama,1992,recordsallh,Record keeping and retention required for all sellers and all dealers for handgun sales,Repealed,
Alabama,1992,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Repealed,
Alabama,1992,reportallh,Reporting of sales records to the state required for all sellers and all dealers for handgun sales,Repealed,
Alabama,1992,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Repealed,
Alabama,1992,purge,State is not required to purge sales records for at least 60 days after purchase,Repealed,
Alabama,1992,security,At least one store security precaution required,Repealed,
Alabama,1992,waitingh,Waiting period is required on all handgun purchases from dealers,Repealed,
Alabama,1992,permitconcealed,Permit required to carry concealed weapons,Current,
Alabama,1992,mayissue,"""May issue"" state",Repealed,
Alabama,1992,showing,Applicants are required to make a heightened showing to obtain a concealed carry permit,Repealed,
Alabama,1992,nosyg,No stand your ground law,Repealed,
Alabama,1992,immunity,No law provides blanket immunity to gun manufacturers or prohibits state or local lawsuits against gun manufacturers,Repealed,
Alabama,1993,alcoholism,Firearm purchase/possession is prohibited for some people with alcoholism,Current,
Alabama,1993,dealerh,State dealer license required for handgun sales,Current,
Alabama,1993,recordsallh,Record keeping and retention required for all sellers and all dealers for handgun sales,Repealed,
Alabama,1993,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Repealed,
Alabama,1993,reportallh,Reporting of sales records to the state required for all sellers and all dealers for handgun sales,Repealed,
Alabama,1993,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Repealed,
Alabama,1993,purge,State is not required to purge sales records for at least 60 days after purchase,Repealed,
Alabama,1993,security,At least one store security precaution required,Repealed,
Alabama,1993,waitingh,Waiting period is required on all handgun purchases from dealers,Repealed,
Alabama,1993,permitconcealed,Permit required to carry concealed weapons,Current,
Alabama,1993,mayissue,"""May issue"" state",Repealed,
Alabama,1993,showing,Applicants are required to make a heightened showing to obtain a concealed carry permit,Repealed,
Alabama,1993,nosyg,No stand your ground law,Repealed,
Alabama,1993,immunity,No law provides blanket immunity to gun manufacturers or prohibits state or local lawsuits against gun manufacturers,Repealed,
Alabama,1994,alcoholism,Firearm purchase/possession is prohibited for some people with alcoholism,Current,
Alabama,1994,dealerh,State dealer license required for handgun sales,Current,
Alabama,1994,recordsallh,Record keeping and retention required for all sellers and all dealers for handgun sales,Repealed,
Alabama,1994,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Repealed,
Alabama,1994,reportallh,Reporting of sales records to the state required for all sellers and all dealers for handgun sales,Repealed,
Alabama,1994,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Repealed,
Alabama,1994,purge,State is not required to purge sales records for at least 60 days after purchase,Repealed,
Alabama,1994,security,At least one store security precaution required,Repealed,
Alabama,1994,waitingh,Waiting period is required on all handgun purchases from dealers,Repealed,
Alabama,1994,permitconcealed,Permit required to carry concealed weapons,Current,
Alabama,1994,mayissue,"""May issue"" state",Repealed,
Alabama,1994,showing,Applicants are required to make a heightened showing to obtain a concealed carry permit,Repealed,
Alabama,1994,nosyg,No stand your ground law,Repealed,
Alabama,1994,immunity,No law provides blanket immunity to gun manufacturers or prohibits state or local lawsuits against gun manufacturers,Repealed,
Alabama,1995,alcoholism,Firearm purchase/possession is prohibited for some people with alcoholism,Current,
Alabama,1995,dealerh,State dealer license required for handgun sales,Current,
Alabama,1995,recordsallh,Record keeping and retention required for all sellers and all dealers for handgun sales,Repealed,
Alabama,1995,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Repealed,
Alabama,1995,reportallh,Reporting of sales records to the state required for all sellers and all dealers for handgun sales,Repealed,
Alabama,1995,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Repealed,
Alabama,1995,purge,State is not required to purge sales records for at least 60 days after purchase,Repealed,
Alabama,1995,security,At least one store security precaution required,Repealed,
Alabama,1995,waitingh,Waiting period is required on all handgun purchases from dealers,Repealed,
Alabama,1995,permitconcealed,Permit required to carry concealed weapons,Current,
Alabama,1995,mayissue,"""May issue"" state",Repealed,
Alabama,1995,showing,Applicants are required to make a heightened showing to obtain a concealed carry permit,Repealed,
Alabama,1995,nosyg,No stand your ground law,Repealed,
Alabama,1995,immunity,No law provides blanket immunity to gun manufacturers or prohibits state or local lawsuits against gun manufacturers,Repealed,
Alabama,1996,alcoholism,Firearm purchase/possession is prohibited for some people with alcoholism,Current,
Alabama,1996,dealerh,State dealer license required for handgun sales,Current,
Alabama,1996,recordsallh,Record keeping and retention required for all sellers and all dealers for handgun sales,Repealed,
Alabama,1996,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Repealed,
Alabama,1996,reportallh,Reporting of sales records to the state required for all sellers and all dealers for handgun sales,Repealed,
Alabama,1996,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Repealed,
Alabama,1996,purge,State is not required to purge sales records for at least 60 days after purchase,Repealed,
Alabama,1996,security,At least one store security precaution required,Repealed,
Alabama,1996,waitingh,Waiting period is required on all handgun purchases from dealers,Repealed,
Alabama,1996,permitconcealed,Permit required to carry concealed weapons,Current,
Alabama,1996,mayissue,"""May issue"" state",Repealed,
Alabama,1996,showing,Applicants are required to make a heightened showing to obtain a concealed carry permit,Repealed,
Alabama,1996,nosyg,No stand your ground law,Repealed,
Alabama,1996,immunity,No law provides blanket immunity to gun manufacturers or prohibits state or local lawsuits against gun manufacturers,Repealed,
Alabama,1997,alcoholism,Firearm purchase/possession is prohibited for some people with alcoholism,Current,
Alabama,1997,dealerh,State dealer license required for handgun sales,Current,
Alabama,1997,recordsallh,Record keeping and retention required for all sellers and all dealers for handgun sales,Repealed,
Alabama,1997,recordsdealerh,Record keeping and retention required for licensed dealers for handgun sales,Repealed,
Alabama,1997,reportallh,Reporting of sales records to the state required for all sellers and all dealers for handgun sales,Repealed,
Alabama,1997,reportdealerh,Reporting of sales records to the state required for licensed dealers for handgun sales,Repealed,
Alabama,1997,purge,State is not required to purge sales records for at least 60 days after purchase,Repealed,
Alabama,1997,security,At least one store security precaution required,Repealed,
Alabama,1997,waitingh,Waiting period is required on all handgun purchases from dealers,Repealed,
Alabama,1997,permitconcealed,Permit required to carry concealed weapons,Current,
Alabama,1997,mayissue,"""May issue"" state",Repealed,
Alabama,1997,showing,Applicants are required to make a heightened showing to obtain a concealed carry permit,Repealed,
Alabama,1997,nosyg,No stand your ground law,Repealed,
Alabama,1997,immunity,No law provides blanket immunity to gun manufacturers or prohibits state or local lawsuits against gun manufacturers,Repealed,
Alabama,1998,alcoholism,Firearm purchase/possession is prohibited for some people with alcoholism,Current,
Alabama,1998,dealerh,State dealer license required for handgun sales,Current,
