state,year,Suicide Rate,Homicide Rate
Alabama,1991,10.38,9.9
Alabama,1992,9.46,9.08
Alabama,1993,10.06,9.49
Alabama,1994,9.39,9.83
Alabama,1995,9.92,9.07
Alabama,1996,9.24,8.64
Alabama,1997,8.95,8.35
Alabama,1998,9.84,7.29
Alabama,1999,9.74,6.55
Alabama,2000,9.55,6.58
Alabama,2001,8.56,6.77
Alabama,2002,8.44,6.51
Alabama,2003,8.67,7.16
Alabama,2004,8,5.87
Alabama,2005,7.82,7.13
Alabama,2006,8.42,7.27
Alabama,2007,8.17,8.25
Alabama,2008,8.74,7.59
Alabama,2009,9.63,6.84
Alabama,2010,9.24,5.97
Alabama,2011,8.95,6.21
Alabama,2012,9.98,6.54
Alabama,2013,9.82,6.86
Alabama,2014,9.51,6.37
Alabama,2015,10.34,8.43
Alabama,2016,NR,NR
Alaska,1991,8.85,2.84
Alaska,1992,10.94,3.56
Alaska,1993,11.89,2.84
Alaska,1994,15.57,3.33
Alaska,1995,12.59,5.47
Alaska,1996,15.02,4.46
Alaska,1997,14.54,4.47
Alaska,1998,14.65,4.34
Alaska,1999,10.52,4.51
Alaska,2000,14.98,2.4
Alaska,2001,10.31,3.81
Alaska,2002,14.79,3.86
Alaska,2003,13.2,4.62
Alaska,2004,14.19,2.91
Alaska,2005,13.43,3.28
Alaska,2006,12.06,4.04
Alaska,2007,14.57,3.51
Alaska,2008,17.12,2.22
Alaska,2009,10.93,2.7
Alaska,2010,15.43,4.17
Alaska,2011,13.47,2.43
Alaska,2012,13.23,2.28
Alaska,2013,16.59,2.27
Alaska,2014,15.31,2.61
Alaska,2015,16.48,5.22
Alaska,2016,NR,NR
Arizona,1991,11.99,5.57
Arizona,1992,11.41,5.99
Arizona,1993,12.75,5.73
Arizona,1994,12.29,7.38
Arizona,1995,12.37,8.46
Arizona,1996,10.87,6.48
Arizona,1997,10.54,5.86
Arizona,1998,10.99,5.82
Arizona,1999,9.6,5.88
Arizona,2000,9.69,5.27
Arizona,2001,9,6.13
Arizona,2002,10.4,6.49
Arizona,2003,8.88,5.69
Arizona,2004,9.06,5.93
Arizona,2005,8.83,6.44
Arizona,2006,9.27,6.42
Arizona,2007,8.93,5.71
Arizona,2008,8.45,5.36
Arizona,2009,9.44,3.69
Arizona,2010,9.53,4.36
Arizona,2011,10.11,4.09
Arizona,2012,9.67,3.97
Arizona,2013,9.65,3.82
Arizona,2014,9.64,3.31
Arizona,2015,9.82,3.56
Arizona,2016,NR,NR
Arkansas,1991,9.51,8.48
Arkansas,1992,8.23,8.97
Arkansas,1993,9.66,8.22
Arkansas,1994,10.46,8.17
Arkansas,1995,10.41,8.35
Arkansas,1996,9.23,6.42
Arkansas,1997,9.34,7.61
Arkansas,1998,9.54,6.01
Arkansas,1999,8.75,4.52
Arkansas,2000,9,5.21
Arkansas,2001,10.11,4.13
Arkansas,2002,9.43,5.47
Arkansas,2003,9.25,4.55
Arkansas,2004,8.26,5.18
Arkansas,2005,9.24,5.52
Arkansas,2006,8.69,5.57
Arkansas,2007,8.42,5.61
Arkansas,2008,9.37,5.39
Arkansas,2009,9.58,5.62
Arkansas,2010,9,4.68
Arkansas,2011,10.2,5.2
Arkansas,2012,10.13,5.84
Arkansas,2013,10.51,5.29
